Date,Vaping,No Pot,Quit Valorant,Wake Up Early,Walk,No Energy Drink,Coding,Shower,University,Gym,
2025-09-04,0.9963,0.9999,1.0000,0.9994,0.9999,0.9998,0.9982,0.9998,0.9999,0.9989,
2025-09-03,0.9961,0.9999,1.0000,0.9994,0.9999,0.9998,0.9981,0.9998,0.9999,0.9989,
2025-09-02,0.9959,0.9999,1.0000,0.9994,0.9999,0.9998,0.9980,0.9998,0.9998,0.9988,
2025-09-01,0.9957,0.9999,1.0000,0.9994,0.9999,0.9998,0.9979,0.9997,0.9998,0.9987,
2025-08-31,0.9955,0.9999,1.0000,0.9994,0.9999,0.9998,0.9978,0.9997,0.9998,0.9987,
2025-08-30,0.9952,0.9999,1.0000,0.9993,0.9999,0.9997,0.9977,0.9997,0.9998,0.9986,
2025-08-29,0.9950,0.9999,1.0000,0.9993,0.9999,0.9997,0.9977,0.9997,0.9998,0.9985,
2025-08-28,0.9947,0.9999,1.0000,0.9992,0.9999,0.9997,0.9976,0.9997,0.9998,0.9984,
2025-08-27,0.9944,0.9999,1.0000,0.9992,0.9999,0.9997,0.9975,0.9997,0.9998,0.9983,
2025-08-26,0.9941,0.9999,1.0000,0.9992,0.9999,0.9997,0.9973,0.9997,0.9998,0.9983,
2025-08-25,0.9938,0.9999,1.0000,0.9991,0.9999,0.9997,0.9973,0.9996,0.9998,0.9982,
2025-08-24,0.9934,0.9999,1.0000,0.9991,0.9999,0.9996,0.9972,0.9996,0.9998,0.9982,
2025-08-23,0.9931,0.9999,1.0000,0.9990,0.9999,0.9996,0.9972,0.9996,0.9997,0.9981,
2025-08-22,0.9927,0.9999,1.0000,0.9990,0.9999,0.9996,0.9970,0.9996,0.9997,0.9980,
2025-08-21,0.9923,0.9999,1.0000,0.9989,0.9999,0.9996,0.9968,0.9996,0.9997,0.9979,
2025-08-20,0.9919,0.9999,1.0000,0.9988,0.9999,0.9996,0.9967,0.9996,0.9997,0.9978,
2025-08-19,0.9914,0.9999,1.0000,0.9988,0.9999,0.9996,0.9967,0.9995,0.9997,0.9977,
2025-08-18,0.9909,0.9998,1.0000,0.9987,0.9999,0.9995,0.9967,0.9995,0.9997,0.9976,
2025-08-17,0.9905,0.9998,1.0000,0.9986,0.9999,0.9995,0.9965,0.9995,0.9996,0.9976,
2025-08-16,0.9999,0.9998,1.0000,0.9986,0.9998,0.9995,0.9963,0.9995,0.9996,0.9975,
2025-08-15,0.9999,0.9998,0.9999,0.9985,0.9998,0.9995,0.9963,0.9995,0.9996,0.9973,
2025-08-14,0.9999,0.9998,0.9999,0.9984,0.9998,0.9994,0.9961,0.9994,0.9996,0.9972,
2025-08-13,0.9999,0.9998,0.9999,0.9983,0.9998,0.9994,0.9959,0.9994,0.9996,0.9970,
2025-08-12,0.9999,0.9998,0.9999,0.9982,0.9998,0.9994,0.9957,0.9994,0.9995,0.9970,
2025-08-11,0.9999,0.9998,0.9999,0.9982,0.9998,0.9994,0.9954,0.9994,0.9995,0.9970,
2025-08-10,0.9998,0.9998,0.9999,0.9981,0.9998,0.9994,0.9952,0.9993,0.9995,0.9968,
2025-08-09,0.9998,0.9998,0.9999,0.9981,0.9998,0.9993,0.9952,0.9993,0.9995,0.9967,
2025-08-08,0.9998,0.9997,0.9999,0.9980,0.9998,0.9993,0.9952,0.9993,0.9994,0.9965,
2025-08-07,0.9998,0.9997,0.9999,0.9979,0.9998,0.9993,0.9949,0.9992,0.9994,0.9963,
2025-08-06,0.9998,0.9997,0.9999,0.9978,0.9997,0.9992,0.9946,0.9992,0.9994,0.9961,
2025-08-05,0.9998,0.9997,0.9999,0.9977,0.9997,0.9992,0.9943,0.9991,0.9993,0.9959,
2025-08-04,0.9998,0.9997,0.9999,0.9977,0.9997,0.9991,0.9940,0.9991,0.9993,0.9957,
2025-08-03,0.9998,0.9997,0.9999,0.9977,0.9997,0.9991,0.9940,0.9990,0.9993,0.9954,
2025-08-02,0.9998,0.9996,0.9999,0.9977,0.9997,0.9990,0.9937,0.9990,0.9992,0.9952,
2025-08-01,0.9997,0.9996,0.9999,0.9977,0.9997,0.9990,0.9933,0.9990,0.9992,0.9952,
2025-07-31,0.9997,0.9996,0.9999,0.9976,0.9996,0.9989,0.9930,0.9989,0.9991,0.9949,
2025-07-30,0.9997,0.9996,0.9999,0.9976,0.9996,0.9989,0.9926,0.9989,0.9991,0.9946,
2025-07-29,0.9997,0.9996,0.9999,0.9976,0.9996,0.9989,0.9926,0.9988,0.9990,0.9943,
2025-07-28,0.9997,0.9995,0.9999,0.9974,0.9996,0.9988,0.9926,0.9987,0.9990,0.9940,
2025-07-27,0.9997,0.9995,0.9999,0.9974,0.9996,0.9987,0.9926,0.9987,0.9989,0.9937,
2025-07-26,0.9997,0.9995,0.9998,0.9974,0.9995,0.9987,0.9926,0.9986,0.9989,0.9933,
2025-07-25,0.9996,0.9995,0.9998,0.9974,0.9995,0.9986,0.9926,0.9986,0.9988,0.9933,
2025-07-24,0.9996,0.9994,0.9998,0.9973,0.9995,0.9985,0.9926,0.9985,0.9987,0.9930,
2025-07-23,0.9996,0.9994,0.9998,0.9971,0.9995,0.9984,0.9926,0.9984,0.9987,0.9926,
2025-07-22,0.9996,0.9994,0.9998,0.9971,0.9994,0.9983,0.9926,0.9983,0.9986,0.9922,
2025-07-21,0.9995,0.9993,0.9998,0.9970,0.9994,0.9982,0.9926,0.9982,0.9985,0.9918,
2025-07-20,0.9995,0.9993,0.9998,0.9970,0.9994,0.9981,0.9926,0.9981,0.9984,0.9913,
2025-07-19,0.9995,0.9993,0.9998,0.9968,0.9993,0.9980,0.9922,0.9980,0.9983,0.9908,
2025-07-18,0.9995,0.9992,0.9998,0.9968,0.9993,0.9980,0.9922,0.9979,0.9982,0.9908,
2025-07-17,0.9994,0.9992,0.9998,0.9966,0.9993,0.9979,0.9918,0.9978,0.9981,0.9903,
2025-07-16,0.9994,0.9991,0.9997,0.9964,0.9992,0.9978,0.9918,0.9977,0.9980,0.9898,
2025-07-15,0.9994,0.9991,0.9997,0.9963,0.9992,0.9978,0.9918,0.9976,0.9979,0.9892,
2025-07-14,0.9993,0.9991,0.9997,0.9960,0.9991,0.9977,0.9913,0.9975,0.9978,0.9887,
2025-07-13,0.9993,0.9990,0.9997,0.9960,0.9991,0.9976,0.9908,0.9973,0.9977,0.9880,
2025-07-12,0.9993,0.9990,0.9997,0.9958,0.9990,0.9975,0.9908,0.9972,0.9976,0.9874,
2025-07-11,0.9992,0.9989,0.9997,0.9956,0.9990,0.9973,0.9908,0.9970,0.9974,0.9874,
2025-07-10,0.9992,0.9989,0.9996,0.9954,0.9989,0.9972,0.9908,0.9968,0.9973,0.9867,
2025-07-09,0.9991,0.9988,0.9996,0.9951,0.9989,0.9970,0.9908,0.9967,0.9972,0.9860,
2025-07-08,0.9991,0.9987,0.9996,0.9948,0.9988,0.9968,0.9903,0.9965,0.9970,0.9852,
2025-07-07,0.9990,0.9987,0.9996,0.9946,0.9987,0.9967,0.9898,0.9963,0.9968,0.9844,
2025-07-06,0.9990,0.9986,0.9996,0.9943,0.9987,0.9965,0.9892,0.9961,0.9967,0.9835,
2025-07-05,0.9989,0.9985,0.9995,0.9939,0.9986,0.9963,0.9892,0.9959,0.9965,0.9826,
2025-07-04,0.9989,0.9984,0.9995,0.9936,0.9985,0.9961,0.9892,0.9959,0.9963,0.9826,
2025-07-03,0.9988,0.9983,0.9995,0.9933,0.9984,0.9959,0.9887,0.9957,0.9961,0.9817,
2025-07-02,0.9988,0.9982,0.9995,0.9929,0.9983,0.9959,0.9887,0.9954,0.9959,0.9807,
2025-07-01,0.9987,0.9981,0.9994,0.9925,0.9983,0.9957,0.9887,0.9952,0.9957,0.9796,
2025-06-30,0.9986,0.9980,0.9994,0.9925,0.9982,0.9954,0.9887,0.9949,0.9954,0.9785,
2025-06-29,0.9985,0.9979,0.9994,0.9925,0.9981,0.9952,0.9887,0.9946,0.9952,0.9773,
2025-06-28,0.9985,0.9978,0.9993,0.9921,0.9980,0.9949,0.9887,0.9943,0.9949,0.9761,
2025-06-27,0.9984,0.9977,0.9993,0.9917,0.9978,0.9946,0.9887,0.9943,0.9946,0.9761,
2025-06-26,0.9983,0.9976,0.9993,0.9912,0.9977,0.9943,0.9887,0.9940,0.9943,0.9748,
2025-06-25,0.9982,0.9975,0.9992,0.9907,0.9976,0.9940,0.9880,0.9940,0.9940,0.9734,
2025-06-24,0.9981,0.9973,0.9992,0.9907,0.9975,0.9937,0.9880,0.9937,0.9937,0.9719,
2025-06-23,0.9980,0.9972,0.9991,0.9902,0.9973,0.9933,0.9880,0.9933,0.9933,0.9704,
2025-06-22,0.9979,0.9970,0.9991,0.9897,0.9972,0.9930,0.9880,0.9930,0.9930,0.9688,
2025-06-21,0.9978,0.9968,0.9990,0.9891,0.9970,0.9926,0.9874,0.9930,0.9926,0.9670,
2025-06-20,0.9976,0.9967,0.9990,0.9891,0.9969,0.9926,0.9874,0.9926,0.9922,0.9670,
2025-06-19,0.9975,0.9965,0.9989,0.9891,0.9967,0.9922,0.9874,0.9922,0.9918,0.9652,
2025-06-18,0.9974,0.9963,0.9989,0.9891,0.9965,0.9918,0.9874,0.9918,0.9913,0.9633,
2025-06-17,0.9972,0.9961,0.9988,0.9885,0.9963,0.9913,0.9874,0.9913,0.9908,0.9613,
2025-06-16,0.9971,0.9959,0.9987,0.9879,0.9961,0.9908,0.9867,0.9908,0.9903,0.9592,
2025-06-15,0.9969,0.9957,0.9987,0.9872,0.9959,0.9903,0.9860,0.9903,0.9898,0.9570,
2025-06-14,0.9967,0.9954,0.9986,0.9865,0.9957,0.9898,0.9852,0.9903,0.9892,0.9546,
2025-06-13,0.9966,0.9952,0.9985,0.9858,0.9954,0.9898,0.9844,0.9898,0.9886,0.9546,
2025-06-12,0.9964,0.9949,0.9984,0.9850,0.9952,0.9892,0.9835,0.9892,0.9880,0.9521,
2025-06-11,0.9962,0.9946,0.9983,0.9842,0.9949,0.9887,0.9835,0.9887,0.9874,0.9495,
2025-06-10,0.9960,0.9943,0.9982,0.9833,0.9946,0.9887,0.9826,0.9880,0.9867,0.9467,
2025-06-09,0.9957,0.9940,0.9981,0.9824,0.9944,0.9880,0.9817,0.9874,0.9859,0.9438,
2025-06-08,0.9955,0.9937,0.9980,0.9814,0.9940,0.9874,0.9807,0.9867,0.9852,0.9407,
2025-06-07,0.9953,0.9933,0.9979,0.9804,0.9937,0.9867,0.9796,0.9860,0.9844,0.9375,
2025-06-06,0.9950,0.9930,0.9978,0.9793,0.9934,0.9867,0.9785,0.9852,0.9835,0.9341,
2025-06-05,0.9947,0.9926,0.9977,0.9793,0.9930,0.9860,0.9773,0.9852,0.9826,0.9341,
2025-06-04,0.9944,0.9922,0.9976,0.9782,0.9926,0.9852,0.9761,0.9844,0.9817,0.9305,
2025-06-03,0.9941,0.9918,0.9975,0.9770,0.9922,0.9844,0.9761,0.9835,0.9806,0.9267,
2025-06-02,0.9938,0.9913,0.9973,0.9770,0.9922,0.9835,0.9761,0.9826,0.9796,0.9267,
2025-06-01,0.9935,0.9908,0.9972,0.9758,0.9918,0.9826,0.9761,0.9817,0.9785,0.9267,
2025-05-31,0.9931,0.9903,0.9970,0.9744,0.9914,0.9817,0.9761,0.9807,0.9773,0.9267,
2025-05-30,0.9928,0.9898,0.9968,0.9744,0.9909,0.9807,0.9761,0.9796,0.9760,0.9226,
2025-05-29,0.9924,0.9892,0.9967,0.9730,0.9904,0.9796,0.9748,0.9785,0.9747,0.9184,
2025-05-28,0.9919,0.9887,0.9965,0.9730,0.9899,0.9796,0.9734,0.9773,0.9733,0.9139,
2025-05-27,0.9915,0.9880,0.9963,0.9730,0.9899,0.9785,0.9734,0.9761,0.9719,0.9139,
2025-05-26,0.9910,0.9874,0.9961,0.9730,0.9893,0.9773,0.9734,0.9748,0.9704,0.9092,
2025-05-25,0.9905,0.9867,0.9959,0.9716,0.9887,0.9761,0.9719,0.9748,0.9687,0.9043,
2025-05-24,0.9900,0.9860,0.9957,0.9716,0.9887,0.9748,0.9704,0.9734,0.9670,0.9043,
2025-05-23,0.9895,0.9852,0.9954,0.9716,0.9881,0.9734,0.9688,0.9734,0.9652,0.9043,
2025-05-22,0.9889,0.9844,0.9952,0.9700,0.9874,0.9719,0.9670,0.9719,0.9633,0.8990,
2025-05-21,0.9883,0.9835,0.9949,0.9700,0.9868,0.9704,0.9652,0.9704,0.9613,0.8935,
2025-05-20,0.9876,0.9826,0.9946,0.9684,0.9860,0.9688,0.9652,0.9688,0.9592,0.8876,
2025-05-19,0.9870,0.9817,0.9943,0.9684,0.9853,0.9670,0.9652,0.9670,0.9569,0.8815,
2025-05-18,0.9863,0.9807,0.9940,0.9666,0.9845,0.9670,0.9652,0.9670,0.9546,0.8815,
2025-05-17,0.9855,0.9796,0.9937,0.9666,0.9845,0.9670,0.9652,0.9652,0.9521,0.8815,
2025-05-16,0.9847,0.9785,0.9933,0.9666,0.9836,0.9652,0.9652,0.9652,0.9495,0.8815,
2025-05-15,0.9839,0.9773,0.9930,0.9648,0.9827,0.9633,0.9633,0.9633,0.9467,0.8750,
2025-05-14,0.9830,0.9761,0.9926,0.9648,0.9818,0.9613,0.9613,0.9613,0.9438,0.8682,
2025-05-13,0.9821,0.9748,0.9922,0.9629,0.9808,0.9592,0.9592,0.9592,0.9407,0.8609,
2025-05-12,0.9811,0.9734,0.9918,0.9608,0.9797,0.9570,0.9570,0.9570,0.9375,0.8533,
2025-05-11,0.9800,0.9719,0.9913,0.9587,0.9786,0.9546,0.9546,0.9546,0.9340,0.8453,
2025-05-10,0.9789,0.9704,0.9908,0.9587,0.9774,0.9521,0.9521,0.9521,0.9304,0.8368,
2025-05-09,0.9778,0.9688,0.9903,0.9564,0.9762,0.9521,0.9495,0.9495,0.9266,0.8368,
2025-05-08,0.9766,0.9670,0.9898,0.9540,0.9749,0.9495,0.9467,0.9467,0.9226,0.8279,
2025-05-07,0.9753,0.9652,0.9892,0.9540,0.9735,0.9467,0.9438,0.9438,0.9183,0.8184,
2025-05-06,0.9739,0.9633,0.9887,0.9515,0.9721,0.9438,0.9407,0.9407,0.9139,0.8085,
2025-05-05,0.9725,0.9613,0.9880,0.9489,0.9705,0.9407,0.9375,0.9375,0.9092,0.7980,
2025-05-04,0.9710,0.9592,0.9874,0.9461,0.9689,0.9407,0.9375,0.9341,0.9042,0.7980,
2025-05-03,0.9694,0.9570,0.9867,0.9431,0.9672,0.9375,0.9375,0.9305,0.9042,0.7870,
2025-05-02,0.9678,0.9546,0.9860,0.9431,0.9654,0.9341,0.9375,0.9267,0.9042,0.7753,
2025-05-01,0.9660,0.9521,0.9852,0.9431,0.9635,0.9341,0.9341,0.9226,0.8989,0.7753,
2025-04-30,0.9641,0.9495,0.9844,0.9400,0.9615,0.9305,0.9305,0.9184,0.8934,0.7630,
2025-04-29,0.9622,0.9467,0.9835,0.9367,0.9594,0.9267,0.9267,0.9139,0.8876,0.7500,
2025-04-28,0.9601,0.9438,0.9826,0.9367,0.9572,0.9226,0.9226,0.9092,0.8814,0.7363,
2025-04-27,0.9579,0.9407,0.9817,0.9333,0.9548,0.9184,0.9184,0.9043,0.8749,0.7219,
2025-04-26,0.9556,0.9375,0.9807,0.9333,0.9524,0.9139,0.9139,0.8990,0.8681,0.7066,
2025-04-25,0.9532,0.9341,0.9796,0.9333,0.9498,0.9092,0.9092,0.8935,0.8608,0.6906,
2025-04-24,0.9506,0.9305,0.9785,0.9296,0.9470,0.9043,0.9043,0.8935,0.8532,0.6906,
2025-04-23,0.9479,0.9267,0.9773,0.9257,0.9441,0.8990,0.8990,0.8876,0.8452,0.6736,
2025-04-22,0.9450,0.9226,0.9761,0.9217,0.9411,0.8935,0.8935,0.8815,0.8367,0.6557,
2025-04-21,0.9420,0.9184,0.9748,0.9217,0.9378,0.8876,0.8876,0.8815,0.8277,0.6369,
2025-04-20,0.9389,0.9139,0.9734,0.9174,0.9344,0.8815,0.8815,0.8750,0.8183,0.6170,
2025-04-19,0.9355,0.9092,0.9719,0.9174,0.9308,0.8815,0.8750,0.8750,0.8084,0.6170,
2025-04-18,0.9320,0.9043,0.9704,0.9174,0.9270,0.8750,0.8682,0.8682,0.7979,0.5960,
2025-04-17,0.9282,0.8990,0.9688,0.9174,0.9230,0.8682,0.8609,0.8609,0.7868,0.5739,
2025-04-16,0.9243,0.8935,0.9670,0.9174,0.9188,0.8609,0.8533,0.8533,0.7751,0.5506,
2025-04-15,0.9202,0.8876,0.9652,0.9129,0.9144,0.8609,0.8453,0.8453,0.7628,0.5260,
2025-04-14,0.9158,0.8815,0.9633,0.9081,0.9097,0.8533,0.8368,0.8368,0.7498,0.5000,
2025-04-13,0.9112,0.8750,0.9613,0.9081,0.9047,0.8453,0.8279,0.8279,0.7361,0.4726,
2025-04-12,0.9063,0.8682,0.9592,0.9081,0.8995,0.8368,0.8184,0.8279,0.7361,0.4726,
2025-04-11,0.9012,0.8609,0.9570,0.9081,0.8940,0.8279,0.8085,0.8184,0.7361,0.4437,
2025-04-10,0.8958,0.8533,0.9546,0.9031,0.8882,0.8184,0.7980,0.8085,0.7217,0.4133,
2025-04-09,0.8901,0.8453,0.9521,0.8977,0.8821,0.8085,0.7870,0.7980,0.7064,0.3811,
2025-04-08,0.8841,0.8368,0.9495,0.8921,0.8756,0.7980,0.7753,0.7870,0.6903,0.3472,
2025-04-07,0.8777,0.8279,0.9467,0.8862,0.8688,0.7870,0.7630,0.7753,0.6734,0.3115,
2025-04-06,0.8710,0.8184,0.9438,0.8800,0.8617,0.7753,0.7500,0.7630,0.6555,0.2738,
2025-04-05,0.8639,0.8085,0.9407,0.8734,0.8541,0.7630,0.7363,0.7500,0.6366,0.2340,
2025-04-04,0.8565,0.7980,0.9375,0.8734,0.8461,0.7500,0.7219,0.7500,0.6167,0.1921,
2025-04-03,0.8486,0.7870,0.9341,0.8665,0.8461,0.7363,0.7066,0.7363,0.5957,0.1921,
2025-04-02,0.8403,0.7753,0.9305,0.8592,0.8377,0.7219,0.6906,0.7219,0.5736,0.1478,
2025-04-01,0.8316,0.7630,0.9267,0.8515,0.8288,0.7066,0.6736,0.7066,0.5502,0.1011,
2025-03-31,0.8224,0.7500,0.9226,0.8433,0.8194,0.6906,0.6557,0.6906,0.5256,0.0519,
2025-03-30,0.8126,0.7363,0.9184,0.8348,0.8194,0.6736,0.6369,0.6736,0.4996,0.0519,
2025-03-29,0.8024,0.7219,0.9139,0.8257,0.8095,0.6557,0.6170,0.6557,0.4722,0.0000,
2025-03-28,0.7916,0.7066,0.9092,0.8162,0.7991,0.6369,0.6170,0.6369,0.4722,0.0000,
2025-03-27,0.7801,0.6906,0.9043,0.8162,0.7991,0.6170,0.5960,0.6170,0.4433,0.0000,
2025-03-26,0.7681,0.6736,0.8990,0.8061,0.7881,0.5960,0.5739,0.5960,0.4128,0.0000,
2025-03-25,0.7554,0.6557,0.8935,0.7955,0.7881,0.5739,0.5506,0.5960,0.4128,0.0000,
2025-03-24,0.7420,0.6369,0.8876,0.7843,0.7765,0.5506,0.5260,0.5739,0.3807,0.0000,
2025-03-23,0.7279,0.6170,0.8815,0.7725,0.7642,0.5506,0.5000,0.5739,0.3468,0.0000,
2025-03-22,0.7130,0.5960,0.8750,0.7725,0.7642,0.5506,0.5000,0.5506,0.3110,0.0000,
2025-03-21,0.6973,0.5739,0.8682,0.7725,0.7642,0.5260,0.5000,0.5260,0.3110,0.0000,
2025-03-20,0.6807,0.5506,0.8609,0.7600,0.7513,0.5000,0.4726,0.5000,0.2732,0.0000,
2025-03-19,0.6632,0.5260,0.8533,0.7469,0.7377,0.4726,0.4437,0.4726,0.2334,0.0000,
2025-03-18,0.6447,0.5000,0.8453,0.7330,0.7233,0.4437,0.4133,0.4437,0.1915,0.0000,
2025-03-17,0.6253,0.4726,0.8368,0.7184,0.7082,0.4133,0.3811,0.4437,0.1472,0.0000,
2025-03-16,0.6048,0.4437,0.8279,0.7030,0.6922,0.3811,0.3472,0.4133,0.1005,0.0000,
2025-03-15,0.5831,0.4133,0.8184,0.6867,0.6753,0.3472,0.3472,0.3811,0.1060,0.0000,
2025-03-14,0.5603,0.3811,0.8085,0.6695,0.6575,0.3472,0.3472,0.3811,0.1118,0.0000,
2025-03-13,0.5362,0.3472,0.7980,0.6514,0.6388,0.3115,0.3115,0.3472,0.1179,0.0000,
2025-03-12,0.5108,0.3115,0.7870,0.6324,0.6190,0.2738,0.2738,0.3115,0.1244,0.0000,
2025-03-11,0.4840,0.2738,0.7753,0.6122,0.5981,0.2340,0.2340,0.2738,0.1312,0.0000,
2025-03-10,0.4558,0.2340,0.7630,0.5910,0.5761,0.1921,0.1921,0.2340,0.1384,0.0000,
2025-03-09,0.4260,0.1921,0.7500,0.5686,0.5529,0.1478,0.1478,0.1921,0.0912,0.0000,
2025-03-08,0.3945,0.1478,0.7363,0.5450,0.5284,0.1011,0.1011,0.1478,0.0962,0.0000,
2025-03-07,0.3614,0.1011,0.7219,0.5200,0.5026,0.0519,0.0519,0.1011,0.0467,0.0000,
2025-03-06,0.3264,0.0519,0.7066,0.4937,0.4753,0.0000,0.0000,0.0519,0.0492,0.0000,
2025-03-05,0.3443,0.0000,0.6906,0.4660,0.4466,0.0000,0.0000,0.0000,0.0519,0.0000,
2025-03-04,0.3631,0.0000,0.6736,0.4368,0.4163,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-03-03,0.3830,0.0000,0.6557,0.4059,0.3843,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-03-02,0.4040,0.0000,0.6369,0.3734,0.3506,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-03-01,0.4261,0.0000,0.6170,0.3938,0.3698,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-28,0.4494,0.0000,0.5960,0.4154,0.3353,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-27,0.4740,0.0000,0.5739,0.4382,0.3537,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-26,0.5000,0.0000,0.5506,0.4622,0.3730,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-25,0.5274,0.0000,0.5260,0.4875,0.3935,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-24,0.5563,0.0000,0.5000,0.4594,0.4150,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-23,0.5867,0.0000,0.4726,0.4298,0.3830,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-22,0.6189,0.0000,0.4437,0.4533,0.4040,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-21,0.6528,0.0000,0.4133,0.4234,0.3713,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-20,0.6885,0.0000,0.3811,0.3918,0.3369,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-19,0.7262,0.0000,0.3472,0.4133,0.3006,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-18,0.7660,0.0000,0.3115,0.3811,0.2623,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-17,0.8079,0.0000,0.2738,0.3472,0.2219,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-16,0.8522,0.0000,0.2340,0.3115,0.2340,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-15,0.8989,0.0000,0.1921,0.2738,0.1921,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-14,0.9481,0.0000,0.1478,0.2340,0.1478,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-13,0.0000,0.0000,0.1011,0.1921,0.1011,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-12,0.0000,0.0000,0.0519,0.1478,0.0519,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-11,0.0000,0.0000,0.0000,0.1011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-10,0.0000,0.0000,0.0000,0.0519,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
